2025-05-22 20:29:16.515 | INFO     | GameEngine.Engine.game:run:178 - Game started between Agent1 and Agent2
2025-05-22 20:29:18.257 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer']
2025-05-22 20:29:18.257 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer']
2025-05-22 20:29:18.257 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer', 'fireball']
2025-05-22 20:29:18.469 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer']
2025-05-22 20:29:18.469 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer']
2025-05-22 20:29:18.470 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer', 'fireball']
2025-05-22 20:29:20.601 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer']
2025-05-22 20:29:20.601 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer']
2025-05-22 20:29:20.602 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer', 'fireball']
2025-05-22 20:29:20.757 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer']
2025-05-22 20:29:20.758 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer']
2025-05-22 20:29:20.758 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer', 'fireball']
2025-05-22 20:29:22.965 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer']
2025-05-22 20:29:22.965 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer']
2025-05-22 20:29:22.966 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer', 'fireball']
2025-05-22 20:29:23.194 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer']
2025-05-22 20:29:23.194 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer']
2025-05-22 20:29:23.195 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer', 'fireball']
2025-05-22 20:29:25.332 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer']
2025-05-22 20:29:25.333 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer']
2025-05-22 20:29:25.333 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer', 'fireball']
2025-05-22 20:29:25.581 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer']
2025-05-22 20:29:25.582 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer']
2025-05-22 20:29:25.582 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer', 'fireball']
2025-05-22 20:29:27.652 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer']
2025-05-22 20:29:27.652 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer']
2025-05-22 20:29:27.653 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer', 'fireball']
2025-05-22 20:29:28.080 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer']
2025-05-22 20:29:28.080 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer']
2025-05-22 20:29:28.081 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer', 'high punch']
2025-05-22 20:29:28.081 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer', 'move closer', 'high punch', 'low kick']
2025-05-22 20:29:29.893 | INFO     | GameEngine.Agent.robot:get_moves_from_llm:262 - Next moves: ['move closer']
